164,2015-03-28,4.69,0,36,Ex Machina,2015-04-10                                  
164,2015-04-08,4.46,0,7,Interstellar,2014-10-29                                 
164,2015-04-08,4.09,0,13,Princess Mononke,1997-07-12                            
164,2015-04-08,4.86,0,26,The Dark Knight,2008-07-14                             
164,2015-04-08,3.69,0,39,Exodus: Gods and Kings,2014-12-03                      
164,2015-04-08,3.68,0,45,OZ the great and Powerful,2013-02-14                   
164,2015-04-08,3.8,0,55,World War Z,2013-06-02                                  
164,2015-04-08,4.18,0,65,The Blind Side,2009-11-17                              
164,2015-04-08,3.71,0,79,Twister,1996-05-10                                     
164,2015-04-08,3.45,0,83,The Man Without a Face,1993-09-25                      
164,2015-04-08,3.54,0,94,Waterworld,1995-07-28                                  
164,2015-04-08,4.18,0,97,Twelve monkeys,1995-12-27                              
256,2015-03-16,4.88,0,27,The Shawshank Redemption,1994-09-23                    
256,2015-04-01,4.21,0,12,The Lion King,1994-06-15                               
256,2015-04-01,4.09,0,21,Big Hero 6,2014-10-25                                  
256,2015-04-01,3.34,0,98,Armageddon,1998-06-30                                  
256,2015-04-07,2.78,0,119,The Lone Ranger,2003-02-26                            
256,2015-04-14,3.87,5.25,19,A Beautiful Mind,2002-01-04                         
256,2015-04-14,3.73,5.25,70,Tombstone,1993-12-24                                
256,2015-04-14,3.27,5.25,83,The Man Without a Face,1993-09-25                   
434,2015-03-30,4.1,0,78,Titanic,1997-11-01                                      
434,2015-04-11,4.54,0,31,Monkey Kingdom,2015-04-17                              
434,2015-04-14,3.29,0,5,Blackhat,2015-01-15                                     
434,2015-04-14,4.27,0,20,BraveHeart,1995-05-19                                  
434,2015-04-14,3.54,0,94,Waterworld,1995-07-28                                  
